time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
13,2.0,488337,388536,7380,2357,12.0,9.0,19.86880350388214,rep1_FOV1.tif
13,3.0,612783,474347,7668,2890,15.0,11.0,28.97362913352867,rep1_FOV1.tif
13,4.0,546096,406341,7047,2481,9.0,5.0,30.607752956636006,rep1_FOV1.tif
13,5.0,615834,410939,7077,2493,10.0,6.0,44.69786212914485,rep1_FOV1.tif
13,6.0,527306,442113,7779,2692,1.0,0.0,16.747198741891093,rep1_FOV1.tif
13,8.0,498792,421933,6823,2562,9.0,7.0,18.037784557615584,rep1_FOV1.tif
13,9.0,569088,416058,7197,2556,14.0,8.0,32.97349709114415,rep1_FOV1.tif
14,2.0,514083,387231,7383,2378,10.0,6.0,25.345054945054944,rep1_FOV1.tif
14,3.0,605279,473969,7698,2892,14.0,10.0,27.322097378277153,rep1_FOV1.tif
14,4.0,551609,401481,7041,2473,8.0,4.0,32.86514886164623,rep1_FOV1.tif
14,5.0,593730,409388,7039,2501,16.0,11.0,40.62185985015425,rep1_FOV1.tif
14,6.0,519606,438832,7725,2678,1.0,0.0,16.004359025163463,rep1_FOV1.tif
14,8.0,483513,420751,6810,2550,6.0,5.0,14.732863849765259,rep1_FOV1.tif
14,9.0,568777,421281,7201,2581,15.0,10.0,31.925541125541127,rep1_FOV1.tif
15,2.0,516546,389130,7382,2387,9.0,7.0,25.50870870870871,rep1_FOV1.tif
15,3.0,613879,477291,7708,2892,16.0,11.0,28.361295681063122,rep1_FOV1.tif
15,4.0,552360,404414,7035,2484,6.0,3.0,32.50845967919139,rep1_FOV1.tif
15,5.0,582760,408346,7081,2505,14.0,10.0,38.11494755244755,rep1_FOV1.tif
15,6.0,522611,444357,7748,2693,1.0,0.0,15.480514342235411,rep1_FOV1.tif
15,8.0,481618,423697,6822,2562,5.0,4.0,13.596478873239437,rep1_FOV1.tif
15,9.0,578167,419051,7217,2573,12.0,7.0,34.26270456503015,rep1_FOV1.tif
16,2.0,535082,389628,7398,2374,8.0,7.0,28.951831210191084,rep1_FOV1.tif
16,3.0,662292,479990,7762,2893,17.0,11.0,37.44136372971863,rep1_FOV1.tif
16,4.0,533241,405030,7024,2482,2.0,2.0,28.22787318361955,rep1_FOV1.tif
16,5.0,561499,412259,7043,2498,12.0,8.0,32.83608360836084,rep1_FOV1.tif
16,6.0,532976,444656,7769,2690,1.0,0.0,17.389249852333137,rep1_FOV1.tif
16,8.0,467983,416666,6829,2558,2.0,2.0,12.015218918286116,rep1_FOV1.tif
16,9.0,580104,417719,7194,2572,13.0,11.0,35.133059281696234,rep1_FOV1.tif
17,2.0,518279,388602,7401,2368,12.0,10.0,25.76534869858931,rep1_FOV1.tif
17,3.0,672702,475182,7730,2886,15.0,9.0,40.77621800165153,rep1_FOV1.tif
17,4.0,500174,407634,7006,2480,0.0,0.0,20.44631020768891,rep1_FOV1.tif
17,5.0,574385,410400,7033,2501,16.0,11.0,36.18380406001765,rep1_FOV1.tif
17,6.0,532216,441160,7757,2691,0.0,0.0,17.973943939992104,rep1_FOV1.tif
17,8.0,453421,422079,6783,2547,1.0,1.0,7.398961284230406,rep1_FOV1.tif
17,9.0,581807,416820,7209,2572,10.0,6.0,35.58054776795342,rep1_FOV1.tif
18,3.0,634224,473421,7746,2893,13.0,11.0,33.13476200288481,rep1_FOV1.tif
18,4.0,484957,408080,7013,2479,3.0,3.0,16.95566828407587,rep1_FOV1.tif
18,5.0,593127,410027,7056,2498,8.0,4.0,40.17112768758227,rep1_FOV1.tif
18,6.0,514712,445138,7713,2686,0.0,0.0,13.840063656256216,rep1_FOV1.tif
18,8.0,459603,421199,6803,2566,10.0,8.0,9.063960349303752,rep1_FOV1.tif
18,9.0,577991,422719,7200,2569,16.0,11.0,33.528827467069746,rep1_FOV1.tif
19,3.0,634818,479031,7640,2890,17.0,13.0,32.79726315789474,rep1_FOV1.tif
19,4.0,467399,408216,6981,2489,5.0,4.0,13.17520035618878,rep1_FOV1.tif
19,5.0,587518,411144,7043,2500,10.0,7.0,38.823244552058114,rep1_FOV1.tif
19,6.0,504083,439330,7700,2690,0.0,0.0,12.924750499001997,rep1_FOV1.tif
19,8.0,494699,421302,6828,2566,11.0,9.0,17.221257625527922,rep1_FOV1.tif
19,9.0,576672,428423,7211,2588,12.0,9.0,32.067704953493404,rep1_FOV1.tif
20,3.0,606027,479444,7677,2897,13.0,10.0,26.481799163179915,rep1_FOV1.tif
20,4.0,481681,408831,6999,2495,6.0,5.0,16.174511545293072,rep1_FOV1.tif
20,5.0,572560,407164,7014,2505,8.0,6.0,36.681304058549564,rep1_FOV1.tif
20,6.0,505642,442109,7770,2695,0.0,0.0,12.518817733990147,rep1_FOV1.tif
20,8.0,484393,421577,6815,2558,9.0,7.0,14.755931407094197,rep1_FOV1.tif
20,9.0,566667,419108,7218,2551,13.0,9.0,31.61752731947718,rep1_FOV1.tif
0,1.0,1009736,431665,7982,2659,6.0,0.0,108.59872252489198,rep1_FOV2.tif
0,2.0,986217,423648,8002,2584,13.0,3.0,103.83333333333333,rep1_FOV2.tif
0,3.0,1281491,438966,8464,2660,19.0,5.0,145.16281874569262,rep1_FOV2.tif
0,4.0,783778,421797,7565,2579,11.0,3.0,72.59947853991176,rep1_FOV2.tif
0,5.0,591771,477477,7504,2887,5.0,1.0,24.755035737491877,rep1_FOV2.tif
0,6.0,708926,468453,6796,2833,10.0,3.0,60.679535705273786,rep1_FOV2.tif
0,7.0,580076,431680,7196,2650,0.0,0.0,32.64320281566212,rep1_FOV2.tif
0,8.0,541967,433587,7393,2631,1.0,1.0,22.759344813103738,rep1_FOV2.tif
0,9.0,813605,466344,6821,2847,8.0,2.0,87.38324106693508,rep1_FOV2.tif
0,10.0,771868,420075,7393,2554,15.0,4.0,72.69952469518496,rep1_FOV2.tif
0,11.0,469382,449578,7019,2692,7.0,5.0,4.576843078345274,rep1_FOV2.tif
1,1.0,871928,434737,7863,2648,4.0,0.0,83.8333652924257,rep1_FOV2.tif
