time,cell_ID,sum_pix_intensity_cyto,sum_pix_intensity_nuclei,cell sizes,nucleus sizes,Particles in cytosol,Particles in nucleus,protein concentrations (AU),image_name
13,1.0,481018,415944,7369,2552,0.0,0.0,13.509238115009342,rep1_FOV1.tif
13,2.0,518524,459410,7929,2792,1.0,1.0,11.507494646680943,rep1_FOV1.tif
13,3.0,474237,406210,7354,2483,0.0,0.0,13.965715458838021,rep1_FOV1.tif
13,4.0,461433,429198,7209,2615,1.0,1.0,7.016760992599043,rep1_FOV1.tif
13,5.0,517801,451298,8061,2706,0.0,0.0,12.418860877684407,rep1_FOV1.tif
13,6.0,481588,452798,7501,2752,0.0,0.0,6.062328911349758,rep1_FOV1.tif
13,7.0,492388,449384,7522,2723,1.0,1.0,8.96103354865597,rep1_FOV1.tif
13,8.0,543815,459591,8217,2803,2.0,1.0,15.556704839305505,rep1_FOV1.tif
13,9.0,483678,434014,7640,2628,1.0,1.0,9.90901835594573,rep1_FOV1.tif
13,11.0,479161,426933,7460,2587,0.0,0.0,10.717832957110609,rep1_FOV1.tif
13,12.0,535729,412495,7953,2495,6.0,3.0,22.578600219860753,rep1_FOV1.tif
13,13.0,546937,443130,8325,2688,1.0,1.0,18.415291821891078,rep1_FOV1.tif
13,14.0,499386,412375,7507,2517,2.0,2.0,17.437074148296592,rep1_FOV1.tif
14,1.0,473114,420934,7355,2548,0.0,0.0,10.855003120449345,rep1_FOV1.tif
14,2.0,527888,456332,7929,2780,2.0,2.0,13.89706739172655,rep1_FOV1.tif
14,3.0,474755,402770,7354,2478,0.0,0.0,14.763125512715341,rep1_FOV1.tif
14,4.0,462014,431618,7199,2614,1.0,1.0,6.629443838604144,rep1_FOV1.tif
14,5.0,524402,444701,8081,2702,0.0,0.0,14.817066369213608,rep1_FOV1.tif
14,6.0,481317,453369,7507,2742,1.0,1.0,5.865267576075551,rep1_FOV1.tif
14,7.0,493552,445113,7559,2713,1.0,1.0,9.995666529096162,rep1_FOV1.tif
14,8.0,554755,460059,8235,2796,3.0,2.0,17.410553410553412,rep1_FOV1.tif
14,9.0,486312,430284,7596,2630,1.0,1.0,11.282319774466371,rep1_FOV1.tif
14,11.0,479733,420529,7460,2575,0.0,0.0,12.119549641760491,rep1_FOV1.tif
14,12.0,541520,410935,7952,2500,2.0,2.0,23.9517608217168,rep1_FOV1.tif
14,13.0,540264,444551,8323,2699,1.0,1.0,17.018669985775247,rep1_FOV1.tif
14,14.0,505990,411481,7504,2519,2.0,1.0,18.958676028084252,rep1_FOV1.tif
15,1.0,471785,425387,7346,2547,0.0,0.0,9.668264221712857,rep1_FOV1.tif
15,2.0,519273,457103,7929,2797,5.0,4.0,12.114185502727981,rep1_FOV1.tif
15,3.0,475210,406929,7358,2479,3.0,3.0,13.99487599918016,rep1_FOV1.tif
15,4.0,476797,432256,7170,2617,1.0,1.0,9.782780584230178,rep1_FOV1.tif
15,5.0,518439,447778,8081,2700,3.0,3.0,13.131574056866754,rep1_FOV1.tif
15,6.0,481873,448889,7494,2735,1.0,1.0,6.930867829375919,rep1_FOV1.tif
15,7.0,480614,449912,7530,2738,1.0,1.0,6.406928213689483,rep1_FOV1.tif
15,8.0,544343,463570,8218,2799,2.0,2.0,14.905517623177708,rep1_FOV1.tif
15,9.0,483553,430855,7539,2620,1.0,1.0,10.713153079894287,rep1_FOV1.tif
15,11.0,466982,423727,7460,2583,0.0,0.0,8.869181874102932,rep1_FOV1.tif
15,12.0,535396,409884,7953,2500,3.0,3.0,23.017054832202458,rep1_FOV1.tif
15,13.0,534977,444170,8322,2695,3.0,3.0,16.137728807535098,rep1_FOV1.tif
15,14.0,498436,415464,7507,2526,2.0,2.0,16.657699257177274,rep1_FOV1.tif
16,1.0,475511,418610,7355,2558,0.0,0.0,11.861788617886178,rep1_FOV1.tif
16,2.0,520763,457861,7929,2787,1.0,1.0,12.232983274990277,rep1_FOV1.tif
16,3.0,466239,406059,7336,2471,0.0,0.0,12.369989722507707,rep1_FOV1.tif
16,4.0,462278,432006,7185,2624,4.0,4.0,6.637140977855734,rep1_FOV1.tif
16,5.0,523387,446896,8077,2705,3.0,3.0,14.238830975428145,rep1_FOV1.tif
16,6.0,487074,451646,7482,2747,1.0,1.0,7.482154171066526,rep1_FOV1.tif
16,7.0,485572,449843,7495,2729,1.0,1.0,7.496642887117079,rep1_FOV1.tif
16,8.0,545944,458117,8213,2799,2.0,1.0,16.222201699298115,rep1_FOV1.tif
16,9.0,488845,428674,7622,2624,6.0,5.0,12.039015606242497,rep1_FOV1.tif
16,11.0,472407,423099,7460,2569,0.0,0.0,10.081373952157023,rep1_FOV1.tif
16,12.0,552533,410410,7953,2492,3.0,2.0,26.02508698040652,rep1_FOV1.tif
16,13.0,534666,440037,8321,2691,4.0,3.0,16.80799289520426,rep1_FOV1.tif
16,14.0,491789,415275,7504,2512,2.0,2.0,15.327323717948717,rep1_FOV1.tif
17,1.0,466616,416417,7368,2556,0.0,0.0,10.432044887780549,rep1_FOV1.tif
17,2.0,523792,458439,7929,2785,3.0,2.0,12.704704510108865,rep1_FOV1.tif
17,3.0,469878,407651,7353,2478,0.0,0.0,12.76451282051282,rep1_FOV1.tif
17,4.0,476957,430826,7187,2613,4.0,3.0,10.085483165719284,rep1_FOV1.tif
